genre,movie,top_50_rank
Animation,tt6718170,1
Animation,tt9362722,2
Animation,tt3915174,3
Animation,tt16428256,4
Animation,tt4633694,5
Animation,tt0398286,6
Animation,tt6467266,7
Animation,tt0097757,8
Animation,tt0110357,9
Animation,tt0245429,10
Animation,tt3521164,11
Animation,tt5311514,12
Animation,tt2953050,13
Animation,tt0317219,14
Animation,tt15789038,15
Animation,tt26537229,16
Animation,tt11304740,17
Animation,tt6105098,18
Animation,tt0382932,19
Animation,tt0317705,20
Animation,tt0114709,21
Animation,tt1482459,22
Animation,tt8589698,23
Animation,tt0347149,24
Animation,tt2096673,25
Animation,tt23177868,26
Animation,tt0432283,27
Animation,tt0126029,28
Animation,tt0266543,29
Animation,tt2380307,30
Animation,tt2294629,31
Animation,tt0198781,32
Animation,tt1488589,33
Animation,tt0120623,34
Animation,tt2948356,35
Animation,tt3470600,36
Animation,tt8115900,37
Animation,tt0481499,38
Animation,tt0327597,39
Animation,tt0910970,40
Animation,tt0120630,41
Animation,tt0441773,42
Animation,tt1049413,43
Animation,tt0119282,44
Animation,tt0892769,45
Animation,tt1490017,46
Animation,tt18259086,47
Animation,tt10298840,48
Animation,tt3606756,49
Animation,tt8097030,50
Comedy,tt6791350,1
Comedy,tt2906216,2
Comedy,tt7405458,3
Comedy,tt6718170,4
Comedy,tt11358390,5
Comedy,tt2015381,6
Comedy,tt5635026,7
Comedy,tt15326988,8
Comedy,tt3896198,9
Comedy,tt13521006,10
Comedy,tt9013340,11
Comedy,tt10954600,12
Comedy,tt21867434,13
Comedy,tt2049403,14
Comedy,tt9362722,15
Comedy,tt10276482,16
Comedy,tt9185206,17
Comedy,tt14209916,18
Comedy,tt7985704,19
Comedy,tt6710474,20
Comedy,tt1517268,21
Comedy,tt14472156,22
Comedy,tt20768712,23
Comedy,tt9764362,24
Comedy,tt1981677,25
Comedy,tt8672856,26
Comedy,tt6857166,27
Comedy,tt10151854,28
Comedy,tt12593682,29
Comedy,tt10640346,30
Comedy,tt13923456,31
Comedy,tt6334354,32
Comedy,tt0094721,33
Comedy,tt7322224,34
Comedy,tt14230388,35
Comedy,tt3915174,36
Comedy,tt10648342,37
Comedy,tt14109724,38
Comedy,tt0069704,39
Comedy,tt11813216,40
Comedy,tt15339570,41
Comedy,tt11291274,42
Comedy,tt0993846,43
Comedy,tt11564570,44
Comedy,tt0099938,45
Comedy,tt11040844,46
Comedy,tt7131622,47
Comedy,tt1135985,48
Comedy,tt4633694,49
Comedy,tt0387808,50
Romance,tt5971474,1
Romance,tt5635026,2
Romance,tt15326988,3
Romance,tt14230458,4
Romance,tt10276482,5
Romance,tt2316548,6
Romance,tt1517268,7
Romance,tt1981677,8
Romance,tt8672856,9
Romance,tt6857166,10
Romance,tt3774694,11
Romance,tt14230388,12
Romance,tt10648342,13
Romance,tt14109724,14
Romance,tt0316396,15
Romance,tt0120338,16
Romance,tt9411972,17
Romance,tt0414387,18
Romance,tt2322441,19
Romance,tt1135985,20
Romance,tt15255288,21
Romance,tt0198021,22
Romance,tt0372532,23
Romance,tt0119217,24
Romance,tt0109830,25
Romance,tt1099212,26
Romance,tt3679040,27
Romance,tt4126476,28
Romance,tt8847712,29
Romance,tt21103300,30
Romance,tt0068284,31
Romance,tt1655441,32
Romance,tt1655389,33
Romance,tt0093779,34
Romance,tt0398286,35
Romance,tt4080728,36
Romance,tt20115096,37
Romance,tt5726616,38
Romance,tt1798709,39
Romance,tt0338013,40
Romance,tt0097757,41
Romance,tt0332280,42
Romance,tt0962736,43
Romance,tt10168670,44
Romance,tt3464902,45
Romance,tt0309987,46
Romance,tt10886166,47
Romance,tt0119558,48
Romance,tt0421715,49
Romance,tt9198364,50
Sport,tt16419074,1
Sport,tt4495098,2
Sport,tt15339570,3
Sport,tt11145118,4
Sport,tt18079362,5
Sport,tt6436620,6
Sport,tt1950186,7
Sport,tt0104694,8
Sport,tt2365971,9
Sport,tt0317219,10
Sport,tt12226632,11
Sport,tt0097815,12
Sport,tt0080487,13
Sport,tt1210166,14
Sport,tt0091217,15
Sport,tt0075148,16
Sport,tt0364725,17
Sport,tt0087538,18
Sport,tt0116483,19
Sport,tt0105812,20
Sport,tt0210945,21
Sport,tt4622682,22
Sport,tt0204946,23
Sport,tt8009428,24
Sport,tt0116695,25
Sport,tt0393162,26
Sport,tt0108037,27
Sport,tt2058673,28
Sport,tt0878804,29
Sport,tt1291584,30
Sport,tt0405159,31
Sport,tt1979320,32
Sport,tt1028576,33
Sport,tt3076658,34
Sport,tt0081398,35
Sport,tt12965390,36
Sport,tt0437863,37
Sport,tt0454945,38
Sport,tt0385705,39
Sport,tt1155076,40
Sport,tt0415306,41
Sport,tt6343314,42
Sport,tt2223990,43
Sport,tt8544498,44
Sport,tt0120484,45
Sport,tt8417168,46
Sport,tt5533370,47
Sport,tt6513120,48
Sport,tt1809398,49
Sport,tt0385002,50
News,tt22644112,1
News,tt21048424,2
News,tt13692932,3
News,tt26237990,4
News,tt26474880,5
News,tt1060234,6
News,tt2183864,7
News,tt8211964,8
News,tt0764869,9
News,tt27731385,10
News,tt0027116,11
News,tt21879774,12
News,tt2561022,13
News,tt15579134,14
News,tt2613168,15
News,tt14133132,16
News,tt20901260,17
News,tt0168772,18
News,tt13416348,19
News,tt4543548,20
News,tt3637826,21
News,tt2097994,22
News,tt9673226,23
News,tt10538532,24
News,tt25435110,25
News,tt22021004,26
News,tt4149460,27
News,tt5143702,28
News,tt1520407,29
News,tt10097482,30
News,tt2649660,31
News,tt2590026,32
News,tt2896018,33
News,tt5328118,34
News,tt5368732,35
News,tt4458138,36
News,tt5753798,37
News,tt2559950,38
News,tt3421108,39
News,tt1196181,40
News,tt11846382,41
News,tt4662960,42
News,tt24018304,43
News,tt4971710,44
News,tt8611778,45
News,tt12622858,46
News,tt10097464,47
News,tt23025386,48
News,tt12552184,49
News,tt14590688,50
Drama,tt15398776,1
Drama,tt7405458,2
Drama,tt16419074,3
Drama,tt15239678,4
Drama,tt24268454,5
Drama,tt13521006,6
Drama,tt21867434,7
Drama,tt1160419,8
Drama,tt10276482,9
Drama,tt0113277,10
Drama,tt9185206,11
Drama,tt6528290,12
Drama,tt0111161,13
Drama,tt2316548,14
Drama,tt10545296,15
Drama,tt8105234,16
Drama,tt14472156,17
Drama,tt1745960,18
Drama,tt5264838,19
Drama,tt0068646,20
Drama,tt6857166,21
Drama,tt5537002,22
Drama,tt13833688,23
Drama,tt10640346,24
Drama,tt15767808,25
Drama,tt12758060,26
Drama,tt8772262,27
Drama,tt0816692,28
Drama,tt14557188,29
Drama,tt12261776,30
Drama,tt7322224,31
Drama,tt3774694,32
Drama,tt1877830,33
Drama,tt4154796,34
Drama,tt0069704,35
Drama,tt0468569,36
Drama,tt0110912,37
Drama,tt11813216,38
Drama,tt1856101,39
Drama,tt18925334,40
Drama,tt0092099,41
Drama,tt0120338,42
Drama,tt4495098,43
Drama,tt2378507,44
Drama,tt9411972,45
Drama,tt0414387,46
Drama,tt14153080,47
Drama,tt15339570,48
Drama,tt9114286,49
Drama,tt1907668,50
Fantasy,tt2906216,1
Fantasy,tt6718170,2
Fantasy,tt5971474,3
Fantasy,tt11358390,4
Fantasy,tt5635026,5
Fantasy,tt0439572,6
Fantasy,tt2049403,7
Fantasy,tt9362722,8
Fantasy,tt1630029,9
Fantasy,tt6528290,10
Fantasy,tt6710474,11
Fantasy,tt1517268,12
Fantasy,tt10151854,13
Fantasy,tt0094721,14
Fantasy,tt10648342,15
Fantasy,tt10872600,16
Fantasy,tt0316396,17
Fantasy,tt0241527,18
Fantasy,tt16428256,19
Fantasy,tt0082198,20
Fantasy,tt0120689,21
Fantasy,tt0076759,22
Fantasy,tt0120737,23
Fantasy,tt4633694,24
Fantasy,tt0120915,25
Fantasy,tt2527338,26
Fantasy,tt0117008,27
Fantasy,tt0102057,28
Fantasy,tt0086190,29
Fantasy,tt11138512,30
Fantasy,tt6166392,31
Fantasy,tt0499549,32
Fantasy,tt3040964,33
Fantasy,tt9419884,34
Fantasy,tt1099212,35
Fantasy,tt9032400,36
Fantasy,tt6443346,37
Fantasy,tt0108255,38
Fantasy,tt0068284,39
Fantasy,tt1655441,40
Fantasy,tt0325980,41
Fantasy,tt0121766,42
Fantasy,tt0093779,43
Fantasy,tt0398286,44
Fantasy,tt0120616,45
Fantasy,tt10676048,46
Fantasy,tt1964418,47
Fantasy,tt0097757,48
Fantasy,tt0167260,49
Fantasy,tt0080684,50
Horror,tt13345606,1
Horror,tt9224104,2
Horror,tt13375076,3
Horror,tt11358390,4
Horror,tt17663992,5
Horror,tt13521006,6
Horror,tt2049403,7
Horror,tt13560574,8
Horror,tt4779682,9
Horror,tt14537248,10
Horror,tt1288558,11
Horror,tt9764362,12
Horror,tt15679400,13
Horror,tt11245972,14
Horror,tt4589218,15
Horror,tt8772262,16
Horror,tt14557188,17
Horror,tt0083907,18
Horror,tt8760708,19
Horror,tt10954984,20
Horror,tt18925334,21
Horror,tt19623240,22
Horror,tt10365998,23
Horror,tt0363547,24
Horror,tt0117571,25
Horror,tt15474916,26
Horror,tt17219484,27
Horror,tt0144084,28
Horror,tt15791034,29
Horror,tt3605418,30
Horror,tt7784604,31
Horror,tt10279472,32
Horror,tt5886046,33
Horror,tt9844522,34
Horror,tt1131734,35
Horror,tt10919380,36
Horror,tt1262416,37
Horror,tt10403420,38
Horror,tt5052448,39
Horror,tt9419884,40
Horror,tt1396484,41
Horror,tt0078748,42
Horror,tt8110652,43
Horror,tt14138650,44
Horror,tt0092991,45
Horror,tt0068284,46
Horror,tt0081505,47
Horror,tt1273235,48
Horror,tt0070047,49
Horror,tt14687418,50
Biography,tt15398776,1
Biography,tt21867434,2
Biography,tt8105234,3
Biography,tt12758060,4
Biography,tt5688068,5
Biography,tt2378507,6
Biography,tt0993846,7
Biography,tt0099685,8
Biography,tt0108358,9
Biography,tt0108052,10
Biography,tt0765429,11
Biography,tt12193804,12
Biography,tt2119532,13
Biography,tt3704428,14
Biography,tt1655389,15
Biography,tt1950186,16
Biography,tt13258918,17
Biography,tt1485796,18
Biography,tt0962736,19
Biography,tt0172493,20
Biography,tt0054331,21
Biography,tt2365971,22
Biography,tt1302006,23
Biography,tt17277414,24
Biography,tt13287846,25
Biography,tt0264464,26
Biography,tt0268978,27
Biography,tt0112573,28
Biography,tt12226632,29
Biography,tt0253474,30
Biography,tt6966692,31
Biography,tt5083738,32
