tconst,top_250_rank
tt0111161,1
tt0068646,2
tt0468569,3
tt0071562,4
tt0050083,5
tt0108052,6
tt0167260,7
tt0110912,8
tt0120737,9
tt0060196,10
tt0109830,11
tt0137523,12
tt0167261,13
tt1375666,14
tt0080684,15
tt0133093,16
tt0099685,17
tt0073486,18
tt0114369,19
tt0038650,20
tt0047478,21
tt0102926,22
tt0120815,23
tt0317248,24
tt0816692,25
tt0118799,26
tt0120689,27
tt0076759,28
tt0103064,29
tt0088763,30
tt0245429,31
tt0253474,32
tt0054215,33
tt6751668,34
tt0110413,35
tt0172495,36
tt0110357,37
tt0120586,38
tt0407887,39
tt2582802,40
tt0482571,41
tt0114814,42
tt0034583,43
tt0095327,44
tt0056058,45
tt1675434,46
tt0027977,47
tt0064116,48
tt0095765,49
tt0047396,50
tt0078748,51
tt0021749,52
tt0078788,53
tt0209144,54
tt1853728,55
tt0082971,56
tt0910970,57
tt0405094,58
tt0043014,59
tt0050825,60
tt0081505,61
tt0032553,62
tt4154756,63
tt0051201,64
tt0090605,65
tt4633694,66
tt0169547,67
tt0057012,68
tt1345836,69
tt0361748,70
tt0364569,71
tt0086879,72
tt2380307,73
tt0114709,74
tt0112573,75
tt7286456,76
tt0082096,77
tt4154796,78
tt0119698,79
tt0119217,80
tt0087843,81
tt5311514,82
tt0045152,83
tt1187043,84
tt0180093,85
tt0057565,86
tt0435761,87
tt8267604,88
tt0086190,89
tt0062622,90
tt0338013,91
tt0091251,92
tt0105236,93
tt2106476,94
tt0056172,95
tt0033467,96
tt0022100,97
tt0044741,98
tt0053125,99
tt0053604,100
tt0052357,101
tt0211915,102
tt0036775,103
tt0066921,104
tt0093058,105
tt0086250,106
tt1255953,107
tt0113277,108
tt8503618,109
tt1049413,110
tt0056592,111
tt0070735,112
tt1832382,113
tt0017136,114
tt0095016,115
tt0119488,116
tt0075314,117
tt0097576,118
tt0208092,119
tt0040522,120
tt0986264,121
tt8579674,122
tt1745960,123
tt0363163,124
tt5074352,125
tt0059578,126
tt0372784,127
tt0012349,128
tt0053291,129
tt10272386,130
tt0042192,131
tt0993846,132
tt6966692,133
tt0055031,134
tt0089881,135
tt0112641,136
tt6791350,137
tt0120382,138
tt0469494,139
tt0457430,140
tt0105695,141
tt1130884,142
tt0167404,143
tt0107290,144
tt0268978,145
tt0055630,146
tt0040897,147
tt0071853,148
tt0477348,149
tt0266697,150
tt0057115,151
tt0042876,152
tt0084787,153
tt0266543,154
tt10872600,155
tt0080678,156
tt0071315,157
tt0434409,158
tt0081398,159
tt0031381,160
tt0046912,161
tt0120735,162
tt2096673,163
tt0347149,164
tt1305806,165
tt5027774,166
tt0117951,167
tt0050212,168
tt1392214,169
tt0116282,170
tt1291584,171
tt1205489,172
tt0264464,173
tt0096283,174
tt0405159,175
tt0118849,176
tt0083658,177
tt0015864,178
tt4729430,179
tt1201607,180
tt0112471,181
tt2024544,182
tt0052618,183
tt2278388,184
tt0047296,185
tt2267998,186
tt0050986,187
tt0017925,188
tt0072684,189
tt0107207,190
tt0077416,191
tt2119532,192
tt0041959,193
tt0046268,194
tt0353969,195
tt0015324,196
tt3011894,197
tt0031679,198
tt10366206,199
tt1392190,200
tt0978762,201
tt0892769,202
tt0097165,203
tt0050976,204
tt0198781,205
tt0073195,206
tt3170832,207
tt0118715,208
tt0046438,209
tt1950186,210
tt0019254,211
tt0395169,212
tt0075148,213
tt0382932,214
tt0091763,215
tt3315342,216
tt1895587,217
tt0088247,218
tt0092005,219
tt1979320,220
tt0074958,221
tt0381681,222
tt0032138,223
tt0758758,224
tt0036868,225
tt0070047,226
tt0107048,227
tt0317705,228
tt0113247,229
tt0035446,230
tt0325980,231
tt1028532,232
tt0032551,233
tt0058946,234
tt0048473,235
tt15097216,236
tt0245712,237
tt0476735,238
tt0032976,239
tt4016934,240
tt0061512,241
tt0059742,242
tt0025316,243
tt0053198,244
tt0060827,245
tt0079470,246
tt0129167,247
tt1454029,248
tt0103639,249
tt0099348,250
